==================================================================================
gen|  eval  |    f_opt    |    f_max    |    f_avg    |    f_min    |    f_std    
----------------------------------------------------------------------------------
 0 |   50   |  0.8366834  |  0.8366834  |  0.8183853  |  0.7919598  | 0.009502408 
 1 |  100   |  0.8366834  |  0.8366834  |  0.8215209  |  0.8040201  |  0.00754485 
 2 |  150   |  0.8479062  |  0.8479062  |  0.82425123 |  0.80921274 | 0.0077924044
 3 |  200   |  0.8479062  |  0.8479062  |  0.8264656  |  0.8127303  | 0.0073568467
 4 |  250   |  0.8479062  |  0.8479062  |  0.82823455 |  0.81373537 | 0.0068413243
 5 |  300   |  0.8479062  |  0.8479062  |  0.83100504 |  0.8160804  | 0.007230228 
 6 |  350   |  0.8517588  |  0.8517588  |  0.83285433 |  0.8164154  | 0.006961488 
 7 |  400   |  0.8517588  |  0.8517588  |  0.83492464 |  0.8224456  | 0.006604018 
 8 |  450   |  0.8517588  |  0.8517588  |   0.836392  |  0.8224456  | 0.0063896035
 9 |  500   |  0.8554439  |  0.8554439  |  0.83782583 |  0.8288107  | 0.006320543 
 10|  550   |  0.8554439  |  0.8554439  |  0.83857954 |  0.8288107  | 0.006405187 
 11|  600   |  0.8618091  |  0.8618091  |  0.8392563  |  0.8288107  | 0.0069966097
 12|  650   |  0.8618091  |  0.8618091  |  0.8405896  |  0.82964826 | 0.0065872804
 13|  700   |  0.8618091  |  0.8618091  |  0.8419732  |  0.83048576 | 0.006786886 
 14|  750   |  0.8618091  |  0.8618091  |  0.8433434  |  0.8309883  | 0.0066733644
 15|  800   |  0.8618091  |  0.8618091  |  0.8442312  |  0.8309883  | 0.0067328718
 16|  850   |  0.8618091  |  0.8618091  |  0.8457186  |  0.8331658  | 0.006517909 
 17|  900   |  0.8618091  |  0.8618091  |  0.84682745 |  0.8366834  | 0.0060308194
 18|  950   |  0.8618091  |  0.8618091  |  0.8478592  |  0.8403685  | 0.005520737 
 19|  1000  |  0.8618091  |  0.8618091  |  0.84867007 |  0.8403685  | 0.0051149055
 20|  1050  |  0.8618091  |  0.8618091  |  0.8497052  |  0.84170854 | 0.004661531 
 21|  1100  |  0.8618091  |  0.8618091  |  0.85040534 |  0.84254605 | 0.004396127 
